Organization_name,Min. Project,Rating,Hourly_rate,Total_Employees,Locality,Region,Profile,Website,Mail,Phone
CemtrexLabs," $10,000+ ",4.9,$50 - $99,"""50 - 249""","New York,",NY,https://clutch.co/profile/cemtrexlabs,http://www.cemtrexlabs.com,hello@cemtrexlabs.com,"
(646) 653-9028 "
Prolific Interactive," $25,000+ ",4.7,$150 - $199,"""50 - 249""","Brooklyn,",NY,https://clutch.co/profile/prolific-interactive,http://prolificinteractive.com/,newbusiness@prolificinteractive.com,"
347.462.0990 "
Groove Jones ," $75,000+ ",4.9,$150 - $199,"""10 - 49""","Dallas,",TX,https://clutch.co/profile/groove-jones,http://www.groovejones.com,whois@groovejones.com,"
1-214-749-0094 x631 "
NEXT/NOW," $25,000+ ",5,$100 - $149,"""10 - 49""","Chicago,",IL,https://clutch.co/profile/nextnow,https://nextnowagency.com,randy@nextnowagency.com,"
312.945.6222 "
SubVRsive," $5,000+ ",4.9,None,"""10 - 49""","Austin,",TX,https://clutch.co/profile/subvrsive,https://subvrsive.com/,hello@subvrsive.com,"
512.596.5534 "
hedgehog lab," $50,000+ ",4.7,$100 - $149,"""50 - 249""","London,",None,https://clutch.co/profile/hedgehog-lab,http://hedgehoglab.com,info@hedgehoglab.com,"
0808 164 3883 "
Program-Ace," $10,000+ ",4.7,$25 - $49,"""50 - 249""","Kharkiv,",None,https://clutch.co/profile/program-ace,https://program-ace.com,rfp@program-ace.com,"
+380577122180, +13475353543 "
4Experience," $5,000+ ",5,$25 - $49,"""10 - 49""","Bielsko-Biaa,",None,https://clutch.co/profile/4experience,http://www.4experience.co,contact@4experience.co,"
+48 727 577 265 "
Gramercy Tech," $5,000+ ",5,$50 - $99,"""10 - 49""","New York,",NY,https://clutch.co/profile/gramercy-tech,http://www.gramercytech.com,hello@gramercytech.com,"
646.918.6340 "
Talespin," $50,000+ ",5,None,"""10 - 49""","Los Angeles,",CA,https://clutch.co/profile/talespin,http://www.talespin.company,info@talespin.company,"
 "
Cortex," $25,000+ ",4.8,$50 - $99,"""50 - 249""","Qubec,",None,https://clutch.co/profile/cortex,https://cortexstudio.com,jmlebeau@cortexstudio.com,"
1 418-210-0199 "
ThinkMobiles," $5,000+  ",4.9,< $25,"""50 - 249""","Uzhgorod,",None,https://clutch.co/profile/thinkmobiles,https://thinkmobiles.com,sales@thinkmobiles.com,"
+1 929 999 1975 "
VR Vision Inc.," $50,000+ ",5,$200 - $300,"""10 - 49""","Toronto,",None,https://clutch.co/profile/vr-vision,http://www.vrvisiongroup.com,hello@vrvisiongroup.com,"
+1 647-358-5050 "
Transition Technologies PSC," $1,000+ ",4.4,$25 - $49,"""250 - 999""","Lodz,",None,https://clutch.co/profile/transition-technologies-psc,https://ttpsc.com,clutch@ttpsc.pl,"
+48426649720 "
WeAR Studio," $5,000+ ",5,$25 - $49,"""10 - 49""","Kyiv,",None,https://clutch.co/profile/wear-studio,http://wear-studio.com,info.wearstudio@wear-studio.com,"
+38.0679000167 "
Sensorama Lab," $5,000+ ",5,$25 - $49,"""10 - 49""","Kyiv,",None,https://clutch.co/profile/sensorama-lab,http://sensoramalab.com,team@sensoramalab.com,"
+380503585083 "
8ninths, Undisclosed,4.8,$150 - $199,"""10 - 49""","Seattle,",WA,https://clutch.co/profile/8ninths,http://8ninths.com/,info@8ninths.com,"
+1.206.456.5294 "
AVRspot," $5,000+ ",5,$25 - $49,"""10 - 49""","New York,",NY,https://clutch.co/profile/avrspot,http://www.avrspot.com,info@avrspot.com,"
+16468956240 "
NotionTheory," $10,000+ ",5,$100 - $149,"""10 - 49""","Washington,",DC,https://clutch.co/profile/notiontheory,http://notiontheory.com,kristian@notiontheory.com,"
 "
Fishermen Labs," $10,000+ ",5,$150 - $199,"""10 - 49""","El Segundo,",CA,https://clutch.co/profile/fishermen-labs,http://www.fishermenlabs.com,info@fishermenlabs.com,"
(424) 262-5227 "
Cubix.," $25,000+ ",4.9,$25 - $49,"""50 - 249""","Washington,",DC,https://clutch.co/profile/cubix,https://www.cubix.co/site/game-app-development?camp=clutch&source=clutch,info@cubix.co,"
866.978.2220 "
Four Kitchens," $25,000+ ",5,$150 - $199,"""10 - 49""","Austin,",TX,https://clutch.co/profile/four-kitchens,https://www.fourkitchens.com,howdy@fourkitchens.com,"
833-WEB-CHEF "
CitrusBits," $25,000+  ",5,$100 - $149,"""10 - 49""","Los Angeles,",CA,https://clutch.co/profile/citrusbits,https://citrusbits.com/?utm_source=Clutch&utm_medium=profile&utm_campaign=clutch-weblink,sales.clutch@citrusbits.com,"
925-452-6012 "
HQSoftware," $10,000+ ",5,$25 - $49,"""50 - 249""","Tallinn,",None,https://clutch.co/profile/hqsoftware,http://www.hqsoftwarelab.com,contact@hqsoftwarelab.com,"
+372 712 00 22 "
Softweb Solutions," $5,000+ ",5,$50 - $99,"""250 - 999""","Elgin,",None,https://clutch.co/profile/softweb-solutions,http://www.softwebsolutions.com,info@softwebsolutions.com,"
866.345.7638 "
IndiaNIC Infotech Limited," $10,000+ ",5,< $25,"""250 - 999""","Beverly Hills,",CA,https://clutch.co/profile/indianic-infotech,https://www.indianic.com/?utm_campaign=Business-Directory&utm_source=Clutch,hello@indianic.com,"
+1 (408) 922 9083 "
Hyperlink InfoSystem," $10,000+ ",4.9,< $25,"""50 - 249""","Ahmedabad,",None,https://clutch.co/profile/hyperlink-infosystem,https://www.hyperlinkinfosystem.com/,info@hyperlinkinfosystem.com,"
+91.8000.161.161 "
TalkingTree Creative," $5,000+ ",5,$100 - $149,"""2 - 9""","Halethorpe,",MD,https://clutch.co/profile/talkingtree-creative,https://talkingtreecreative.com/,info@talkingtreecreative.com,"
+1.240.252.1200 "
Quytech," $10,000+ ",4.7,< $25,"""50 - 249""","Gurgaon,",None,https://clutch.co/profile/quytech,http://www.quytech.com/?utm_source=clutch&utm_medium=directory&utm_campaign=clutchprofile,sales@quytech.com,"
+91-70422-95974 "
Eurisko Mobility," $25,000+ ",4.3,$25 - $49,"""10 - 49""","Adma,",None,https://clutch.co/profile/eurisko-mobility,http://www.euriskomobility.com,info@euriskomobility.com,"
009619854069 "
INLOOPX," $5,000+ ",5,$100 - $149,"""50 - 249""","Sunnyvale,",CA,https://clutch.co/profile/inloopx,https://www.inloopx.com,projects@inloopx.com,"
 "
ServReality," $1,000+ ",5,$25 - $49,"""50 - 249""","Kyiv,",None,https://clutch.co/profile/servreality,http://www.servreality.com,info@servreality.com,"
 "
Dogtown Media ," $25,000+ ",4.9,$100 - $149,"""10 - 49""","Venice Beach,",CA,https://clutch.co/profile/dogtown-media,https://www.dogtownmedia.com,contact@dogtownmedia.com,"
(888) 814-7010 "
Shockoe," $50,000+ ",4.8,$100 - $149,"""50 - 249""","Richmond,",VA,https://clutch.co/profile/shockoe,http://www.shockoe.com,info@shockoe.com,"
8776967001 "
Corporation Pop," $25,000+ ",4.8,$100 - $149,"""10 - 49""","Manchester,",None,https://clutch.co/profile/corporation-pop,http://www.corporationpop.co.uk,info@corporationpop.co.uk,"
0161 838 0808 "
Sileria," $50,000+ ",4.9,$100 - $149,"""10 - 49""","Los Angeles,",CA,https://clutch.co/profile/sileria,http://sileria.com,info@sileria.com,"
+1 (888) 295-5110 "
Novoda," $100,000+ ",4.8,$150 - $199,"""50 - 249""","London,",None,https://clutch.co/profile/novoda,https://www.novoda.com,info@novoda.com,"
+44 207 359 4709 "
Mindgrub," $50,000+ ",4.8,$100 - $149,"""50 - 249""","Baltimore,",MD,https://clutch.co/profile/mindgrub,http://www.mindgrub.com,sales@mindgrub.com,"
410.988.2444 "
YUQIO LLC," $1,000+ ",5,< $25,"""10 - 49""","Kiev,",None,https://clutch.co/profile/yuqio,http://yuqio.com,ceo@yuqio.com,"
+380684923885 "
Saritasa," $25,000+ ",4.8,$100 - $149,"""50 - 249""","Newport Beach,",CA,https://clutch.co/profile/saritasa,https://www.saritasa.com/,info@saritasa.com,"
888.716.5833 "
FS Studio," $50,000+ ",5,$150 - $199,"""10 - 49""","Emeryville,",CA,https://clutch.co/profile/fs-studio,http://www.fsstudio.com/,info@fsstudio.com,"
+1.888.404.6115 "
Copper Mobile," $25,000+ ",5,$100 - $149,"""50 - 249""","Dallas,",TX,https://clutch.co/profile/copper-mobile,http://www.coppermobile.com/,sales@coppermobile.com,"
972.528.6628 "
Innotical Solutions," $5,000+ ",5,< $25,"""50 - 249""","Noida,",None,https://clutch.co/profile/innotical-solutions,https://www.innotical.com/,amritansh@innotical.com,"
+91.9873531328 "
Starloop Studios," $10,000+ ",5,$25 - $49,"""50 - 249""","Barcelona,",None,https://clutch.co/profile/starloop-studios,http://www.starloopstudios.com,hello@starloopstudios.com,"
 "
4xxi," $5,000+ ",4.9,$25 - $49,"""50 - 249""","Saint Petersburg,",None,https://clutch.co/profile/4xxi,https://4xxi.com/en?utm_source=clutch&utm_medium=cpc&utm_campaign=clutchsales,clutch@4xxi.com,"
+79046414387 "
VEAR EXPERIENCE," $5,000+ ",4,$100 - $149,"""10 - 49""","capital federal,",None,https://clutch.co/profile/vear-experience,http://www.vearexperience.com,info@vearexperience.com,"
00541120716683 "
Mofables," $5,000+ ",4.3,$25 - $49,"""2 - 9""","Krakw,",None,https://clutch.co/profile/mofables,http://mofables.com,hello@mofables.com,"
+48501588628 "
Vakoms," $5,000+ ",4.9,$25 - $49,"""50 - 249""","Lviv,",None,https://clutch.co/profile/vakoms,https://vakoms.com/,info@vakoms.com,"
+380322417234 "
Hyperflow Labs," $5,000+ ",5,$100 - $149,"""2 - 9""","Ottawa,",None,https://clutch.co/profile/hyperflow-labs,http://www.hyperflowlabs.com/,info@hyperflowlabs.com,"
 "
Exyte," $10,000+ ",5,$50 - $99,"""10 - 49""","Novosibirsk,",None,https://clutch.co/profile/exyte,https://exyte.com/,info@exyte.com,"
+7 983 320 41 22 "
To The Moon," $5,000+ ",5,$50 - $99,"""2 - 9""","Los Angeles,",CA,https://clutch.co/profile/moon,http://tothemoon3d.com/,hq@tothemoon3D.com,"
 "
Craftars," $10,000+ ",5,$50 - $99,"""2 - 9""","Bucharest,",None,https://clutch.co/profile/craftars,http://www.craftars.com,hello@craftars.com,"
+40728478237 "
MobiDev," $75,000+ ",5,$50 - $99,"""250 - 999""","Atlanta,",GA,https://clutch.co/profile/mobidev,https://mobidev.biz/,info@mobidev.biz,"
+1 888-380-0276 "
Crysberry," $10,000+ ",4.8,$25 - $49,"""10 - 49""","Kharkov,",None,https://clutch.co/profile/crysberry,https://www.crysberry.com/,company@crysberry.com,"
+380979057716 "
TechGuilds Consulting Inc., Undisclosed,4.7,$100 - $149,"""10 - 49""","Toronto ,",None,https://clutch.co/profile/techguilds-consulting,http://www.techguilds.com,engage@techguilds.com,"
+1 877-317-4118 "
Degordian," $10,000+ ",4.7,$50 - $99,"""50 - 249""","Zagreb,",None,https://clutch.co/profile/degordian,http://www.degordian.com,info@degordian.com,"
+38515565680 "
BidOn Games Studio," $5,000+ ",5,$25 - $49,"""10 - 49""","Cherkasy,",None,https://clutch.co/profile/bidon-games-studio,http://www.bidon-gs.com/,hello@bidon-gs.com,"
+380638186010 "
Toptal," $25,000+ ",4.6,$100 - $149,"""1,000 - 9,999""","San Francisco,",CA,https://clutch.co/profile/toptal,https://www.toptal.com/,,"
888.604.3188 "
Setapp," $5,000+ ",4.5,$25 - $49,"""50 - 249""","Poznan,",None,https://clutch.co/profile/setapp,https://setapp.pl,sales@setapp.pl,"
+48506798998 "
Contus," $5,000+ ",4.9,$25 - $49,"""250 - 999""","Atlanta,",GA,https://clutch.co/profile/contus,http://www.contus.com,bd@contus.in,"
+1 408 707 2982 "
App-Scoop," $10,000+ ",4.8,$50 - $99,"""10 - 49""","Vancouver,",None,https://clutch.co/profile/app-scoop,http://www.app-scoop.com/,info@app-scoop.com,"
+1 800-392-8188 "
BVG Software Group," $10,000+ ",4.9,$25 - $49,"""10 - 49""","South San Francisco,",CA,https://clutch.co/profile/bvg-software-group,http://www.bvgsoftwaregroup.com/portfolio/web-development/?utm_source=clutch_main,services@bvgsoftwaregroup.com,"
+1 (650) 409-5039 "
Wow-How Studio," $1,000+ ",4.9,$25 - $49,"""10 - 49""","Kharkiv,",None,https://clutch.co/profile/wow-how-studio,https://wow-how.com/,info@wow-how.com,"
+38 067 539 4002 "
Echo Interaction Group," $50,000+ ",4.5,$100 - $149,"""10 - 49""","Orlando,",FL,https://clutch.co/profile/echo-interaction-group,http://www.justecho.com,hello@justecho.com,"
888-324-6115 "
Leadweb," $25,000+ ",5,$100 - $149,"""10 - 49""","Montreal,",None,https://clutch.co/profile/leadweb,http://lead-web.com,info@lead-web.com,"
1-833-LEADWEB "
Fgfactory," $5,000+ ",4.9,$25 - $49,"""10 - 49""","Kharkiv,",None,https://clutch.co/profile/fgfactory,https://fgfactory.com/en,info@fgfactory.com,"
 "
Nimblechapps Ltd," $10,000+ ",4.8,$25 - $49,"""10 - 49""","Ahmedabad,",None,https://clutch.co/profile/nimblechapps,https://www.nimblechapps.com/,howdy@nimblechapps.com,"
+91 079 4030 5669 "
Eden Agency, Undisclosed,4.7,$100 - $149,"""10 - 49""","Manse Lane,",None,https://clutch.co/profile/eden-agency,http://createdineden.com/,hiya@edenagency.co.uk,"
+44 14 2359 3010 "
OptiSol Business Solutions," $5,000+ ",4.6,< $25,"""50 - 249""","Strongsville,",OH,https://clutch.co/profile/optisol-business-solutions,http://www.optisolbusiness.com,info@optisolbusiness.com,"
+1 (415) 233-4737 "
HacknCraft," $25,000+ ",4.8,$150 - $199,"""10 - 49""","New York,",NY,https://clutch.co/profile/hackncraft,http://www.HacknCraft.com,kejia.tang@hackncraft.com,"
 "
Accubits Technologies Inc," $5,000+ ",4.5,< $25,"""50 - 249""","Vienna,",VA,https://clutch.co/profile/accubits-technologies,https://accubits.com/,contact@accubits.com,"
+1 4158 710 485 "
Otinsoft," $10,000+ ",4.3,$25 - $49,"""2 - 9""","Iasi,",None,https://clutch.co/profile/otinsoft,http://www.otinsoft.com,par@otinsoft.com,"
+40751360056 "
Perfomatix Solutions," $10,000+ ",4.8,$25 - $49,"""50 - 249""","Alpharetta,",GA,https://clutch.co/profile/perfomatix-solutions,http://www.perfomatix.com/,sales@perfomatix.com,"
+1-888-501-0640 "
Ratufa Software Technologies Private Limited," $5,000+ ",5,$25 - $49,"""10 - 49""","Indore,",None,https://clutch.co/profile/ratufa-software-technologies-private,http://www.ratufa.com,sales@ratufa.com,"
9165474109 "
Innovecs," $25,000+ ",4.6,$25 - $49,"""250 - 999""","New York,",NY,https://clutch.co/profile/innovecs,https://www.innovecs.com/,sales@innovecs.com,"
+1-732-791-58-07 "
Seven Winds Studio," $5,000+ ",4.7,< $25,"""10 - 49""","Novorossiysk,",None,https://clutch.co/profile/seven-winds-studio,http://www.7winds.mobi,info@7winds.mobi,"
+79891958284 "
Arello Mobile," $5,000+ ",5,$25 - $49,"""50 - 249""","Washington,",DC,https://clutch.co/profile/arello-mobile,http://arello-mobile.com,service@arello-mobile.com,"
+1 (240) 802-9086 "
Fast Rope Labs ," $10,000+ ",4.5,$150 - $199,"""10 - 49""","Washington,",DC,https://clutch.co/profile/fast-rope-labs,http://www.fastrope.in,team@fastrope.in,"
 "
Youstart Technologies," $5,000+ ",5,$25 - $49,"""10 - 49""","Jaipur,",None,https://clutch.co/profile/youstart-technologies,http://www.youstart.in,contact@youstart.in,"
+91.886.001.4475 "
Yudiz Solutions," $10,000+ ",5,< $25,"""50 - 249""","Ahmedabad,",None,https://clutch.co/profile/yudiz-solutions,http://www.yudiz.com,contact@yudiz.com,"
91.79.6513.0111 "
Mode Games," $5,000+ ",5,$150 - $199,"""10 - 49""","Sydney,",None,https://clutch.co/profile/mode-games,http://mode-games.com,sales@mode-games.com,"
 "
Pentoz Technology," $50,000+ ",5,$50 - $99,"""50 - 249""","Kaufman,",TX,https://clutch.co/profile/pentoz-technology,https://pentoz.com,hello@pentoz.com,"
650.200.4005 "
Forbytes," $50,000+ ",4.9,$25 - $49,"""10 - 49""","Helsinborg, E-commerce Park,",None,https://clutch.co/profile/forbytes,https://forbytes.com/,contact@forbytes.com,"
+46 (0) 73 612 22 79 "
CMOLDS," $10,000+ ",5,$25 - $49,"""250 - 999""","Totowa,",NJ,https://clutch.co/profile/cmolds,http://www.cmolds.com,talk@cmolds.com,"
(844) 673 6849 "
App Boxer," $10,000+ ",4.5,$50 - $99,"""10 - 49""","Sydney,",None,https://clutch.co/profile/app-boxer,http://www.appboxer.com.au,General@appboxer.com.au,"
1800277269 "
Noto Solutions," $5,000+ ",5,$25 - $49,"""50 - 249""","Edmonton,",None,https://clutch.co/profile/noto-solutions,http://www.notosolutions.com,info@notosolutions.com,"
+1 407 459 7983 "
Diffco," $25,000+ ",5,$50 - $99,"""10 - 49""","Sunnyvale,",CA,https://clutch.co/profile/diffco,http://diffco.us,mail@diffco.us,"
415.655.1002 "
Dcube Tech Ventures Pvt. Ltd.," $10,000+ ",4.7,< $25,"""10 - 49""","Mohali,",None,https://clutch.co/profile/dcube-tech-ventures,http://www.dcubetechnologies.com,info@dcubetechnologies.com,"
+918146808897 "
Mobi Lab, Undisclosed,5,$50 - $99,"""10 - 49""","Tartu,",None,https://clutch.co/profile/mobi-lab,http://lab.mobi,andres.gallardo@lab.mobi,"
+3725214941 "
Loon Games," $5,000+ ",4.8,$25 - $49,"""2 - 9""","Navi Mumbai,",None,https://clutch.co/profile/loon-games,http://loongames.com,aditya@loongames.com,"
+91.8655262561 "
Fifium ," $1,000+ ",5,$50 - $99,"""2 - 9""","Kbenhavn,",None,https://clutch.co/profile/fifium,http://www.fifium.com,contact@fifium.com,"
+4550898989 "
FRAG," $10,000+ ",4.8,< $25,"""10 - 49""","Lahore,",None,https://clutch.co/profile/frag,http://www.frag-games.com,hello@frag-games.com,"
+92 42 3597 2057 "
Software Allies, Undisclosed,5,$50 - $99,"""10 - 49""","Dallas,",TX,https://clutch.co/profile/software-allies,http://www.softwareallies.com,together@softwareallies.com,"
888.890.3670 "
Rose Digital," $25,000+ ",4.5,$100 - $149,"""10 - 49""","New York,",NY,https://clutch.co/profile/rose-digital,http://rosedigital.co,clientdevelopment@rosedigital.co,"
914-715-9980 "
Inkcadre Technosoft Pvt Ltd," $5,000+ ",5,< $25,"""10 - 49""","Ahmedabad,",None,https://clutch.co/profile/inkcadre-technosoft,http://www.inkcadre.com,info@inkcadre.com,"
 "
Be Unicorn," $5,000+ ",5,$50 - $99,"""10 - 49""","San Francisco,",CA,https://clutch.co/profile/be-unicorn,https://beunicorn.io,hello@beunicorn.io,"
650 308-60-32 "
Webnexs," $1,000+ ",5,$25 - $49,"""10 - 49""","Chennai,",None,https://clutch.co/profile/webnexs,https://www.webnexs.com/,support@webnexs.com,"
97869 77650 "
TEKINFOWAY," $10,000+ ",4.9,< $25,"""10 - 49""","jersey,",NJ,https://clutch.co/profile/tekinfoway,http://www.tekinfoway.com,kin@tekinfoway.com,"
7187136654 "
Insalgo," $5,000+ ",4.7,$25 - $49,"""10 - 49""","Gdansk,",None,https://clutch.co/profile/insalgo,http://www.insalgo.com,contact@insalgo.com,"
+48 535 669 451 "
4Geeks Technologies," $10,000+ ",None,$50 - $99,"""10 - 49""","Wilmington,",DE,https://clutch.co/profile/4geeks-technologies,https://4geeks.io,sales@4geeks.io,"
+1 (302) 600-1048 "
Skipfour LLC," $5,000+ ",4.5,None,"""50 - 249""","San Francisco,",CA,https://clutch.co/profile/skipfour,https://www.skipfour.com,hello@skipfour.com,"
+1.925.400.8510 "
Budacode," $5,000+ ",5,$50 - $99,"""10 - 49""","Hamburg,",None,https://clutch.co/profile/budacode,http://budacode.com,info@budacode.com,"
+4915731970769 "
WallTree," $1,000+ ",4.6,$25 - $49,"""10 - 49""","Uzhhorod,",None,https://clutch.co/profile/walltree,http://walltreesoft.com/?utm_source=clutch&utm_content=link,hello@walltreesoft.com,"
+380951268707 "
Amaris," $10,000+ ",4.8,< $25,"""1,000 - 9,999""","Ho Chi Minh City,",None,https://clutch.co/profile/amaris,http://www.amaris.com,jschwartzmann@amaris.com,"
+841653805210 "
Juego Studio ," $1,000+ ",4,< $25,"""10 - 49""","Bangalore,",None,https://clutch.co/profile/juego-studio-private,http://www.juegostudio.com,info@juegostudio.com,"
+91 80 65653369 "
Intelivita," $1,000+ ",4.7,< $25,"""10 - 49""","Leeds,",None,https://clutch.co/profile/intelivita,http://www.intelivita.co.uk,support@intelivita.com,"
+44.778.397.2793 "
The Human Expansion Co.," $50,000+ ",5,$150 - $199,"""2 - 9""","Santa Monica,",CA,https://clutch.co/profile/human-expansion-co,https://humanexpansion.tv/,dave@humanexpansion.tv,"
415-851-1642 "
RUBICON," $5,000+ ",4.5,$25 - $49,"""10 - 49""","Sarajevo,",None,https://clutch.co/profile/rubicon,https://www.rubicon-world.com,info@rubicon-world.com,"
+38761753100 "
