Organization_name,Min. Project,Rating,Hourly_rate,Total_Employees,Locality,Region,Profile,Website,Mail,Phone
TSN-Media," $5,000+ ",5,< $25,"""10 - 49""","Kharkiv,",None,https://clutch.co/profile/tsn-media,https://tsn-media.com/,sales@tsn-media.com,"
+38.099.157.8974 "
Tec Solutions Network," $1,000+ ",4.7,$50 - $99,"""2 - 9""","Buenos Aires,",None,https://clutch.co/profile/tec-solutions-network,http://www.tecsolutions.com.ar/en/home/,sales@tecsolutions.com.ar,"
+1 (631) 9985606 "
Digital Echidna," $10,000+ ",4.7,$100 - $149,"""50 - 249""","London,",None,https://clutch.co/profile/digital-echidna,http://echidna.ca,andrew@echidna.ca,"
519.858.9604 "
ImageX," $10,000+ ",4.9,$50 - $99,"""50 - 249""","Vancouver,",None,https://clutch.co/profile/imagex,https://imagexmedia.com,brent@imagexmedia.com,"
778.785.1547 "
Followbright," $25,000+ ",5,None,"""2 - 9""","Denver,",CO,https://clutch.co/profile/followbright,http://www.followbright.com/,info@followbright.com,"
(970) 668-0709 "
Brainvire Infotech Inc," $25,000+ ",4.8,$25 - $49,"""250 - 999""","South Jordan,",None,https://clutch.co/profile/brainvire-infotech,https://www.brainvire.com,info@brainvire.com,"
+1-631-897-7276 "
Jordan Crown," $10,000+ ",4.9,$100 - $149,"""10 - 49""","Everett,",WA,https://clutch.co/profile/jordan-crown,http://www.jordancrown.com/lp/clutch/?c=cl,joea@jordancrown.com,"
425.268.2718 "
The Software House," $25,000+ ",4.9,$25 - $49,"""50 - 249""","Gliwice,",None,https://clutch.co/profile/software-house,https://tsh.io/,sales@tsh.io,"
+48 793 142 320 "
Lullabot," $10,000+ ",4.9,$150 - $199,"""50 - 249""","Providence,",RI,https://clutch.co/profile/lullabot,https://www.lullabot.com,info@lullabot.com,"
877.585.5226 "
Urban Insight," $25,000+ ",5,$100 - $149,"""10 - 49""","Los Angeles,",CA,https://clutch.co/profile/urban-insight,https://www.urbaninsight.com/clutch,info@urbaninsight.com,"
213.792.2000 "
