Organization_name,Min. Project,Rating,Hourly_rate,Total_Employees,Locality,Region,Profile,Website,Mail,Phone
Intellectsoft," $25,000+ ",4.8,$50 - $99,"""250 - 999""","Palo Alto,",CA,https://clutch.co/profile/intellectsoft,http://intellectsoft.net/?utm_source=clutch.co&utm_medium=referral&utm_campaign=cust_soft_dev,info@intellectsoft.net,"
650 300 4335 "
XSolve," $10,000+ ",4.6,$50 - $99,"""50 - 249""","Gliwice,",None,https://clutch.co/profile/xsolve,https://xsolve.software/outsource-your-software-development/?utm_source=clutch.co&utm_medium=referral&utm_campaign=xsolve_clutch_profile,hello@xsolve.pl,"
+48 32 739 09 00 "
Praxent," $25,000+ ",4.8,$150 - $199,"""10 - 49""","Austin,",TX,https://clutch.co/profile/praxent,https://praxent.com/,info@praxent.com,"
+1.512.553.6830 "
Experion Technologies ," $50,000+ ",4.9,$25 - $49,"""250 - 999""","Addison,",TX,https://clutch.co/profile/experion-technologies,http://www.experionglobal.com/?utm_source=Clutch&utm_medium=Clutch&utm_campaign=CustomDev,REACHout@experionglobal.com,"
214.983.8181; 972.439.6913; "
Exadel," $100,000+ ",4.9,$25 - $49,"""250 - 999""","Walnut Creek,",CA,https://clutch.co/profile/exadel,https://www.exadel.com/,info@exadel.com,"
1866-297-3860 "
Apriorit, Undisclosed,4.9,$25 - $49,"""50 - 249""","Dover,",DE,https://clutch.co/profile/apriorit,https://www.apriorit.com/,info@apriorit.com,"
(1) 202 780 9339 "
DCSL Software," $50,000+ ",4.8,$50 - $99,"""50 - 249""","London,",None,https://clutch.co/profile/dcsl-software,https://www.dcslsoftware.com/,contact@dcslsoftware.com,"
+44 12 5223 5422 "
Itransition," $10,000+ ",4.8,$25 - $49,"""1,000 - 9,999""","Lakewood,",CO,https://clutch.co/profile/itransition,https://www.itransition.com/,info@itransition.com,"
+1 720-207-2820 "
Radixweb," $25,000+ ",4.7,$25 - $49,"""50 - 249""","Ahmedabad,",None,https://clutch.co/profile/radixweb,http://simplified-it-outsourcing.com/?utm_source=clutch&utm_medium=SponsorListing&utm_campaign=clutch,sales@radixweb.com,"
+1.646.801.6885 "
Menlo Technologies," $25,000+ ",4.8,$25 - $49,"""50 - 249""","Santa Clara,",CA,https://clutch.co/profile/menlo-technologies,http://www.menlo-technologies.com,info@menlo-technologies.com,"
408-736-8100 "
MojoTech," $25,000+ ",5,$150 - $199,"""10 - 49""","Providence,",RI,https://clutch.co/profile/mojotech,https://www.mojotech.com/,hello@mojotech.com,"
855.665.6832 "
Perfectial," $50,000+ ",4.7,$25 - $49,"""50 - 249""","Lviv,",None,https://clutch.co/profile/perfectial,https://perfectial.com/,info@perfectial.com,"
+380322700092 "
Applaudo Studios," $10,000+ ",4.4,$50 - $99,"""50 - 249""","Austin,",TX,https://clutch.co/profile/applaudo-studios,http://www.applaudostudios.com,sales@applaudostudios.com,"
+1 (512) 806-019 "
Belatrix Software," $5,000+ ",4.8,$50 - $99,"""250 - 999""","Mendoza,",None,https://clutch.co/profile/belatrix-software,http://www.belatrixsf.com/,businessdevelopment@belatrixsf.com,"
+54 (261) 542-3033 "
