Organization_name,Min. Project,Rating,Hourly_rate,Total_Employees,Locality,Region,Profile,Website,Mail,Phone
Radixweb," $25,000+ ",4.7,$25 - $49,"""50 - 249""","Ahmedabad,",None,https://clutch.co/profile/radixweb,http://simplified-it-outsourcing.com/?utm_source=clutch&utm_medium=SponsorListing&utm_campaign=clutch,sales@radixweb.com,"
+1.646.801.6885 "
"Cabot Technology Solutions, Inc"," $10,000+ ",4.8,$25 - $49,"""50 - 249""","Highland Heights,",OH,https://clutch.co/profile/cabot-technology-solutions,http://www.cabotsolutions.com/?utm_source=clutchco&utm_medium=clutch_profile&utm_term=clutch&utm_content=companyprofileurl&utm_campaign=clutch_sponsored%20,info@cabotsolutions.com,"
216 704 8767 "
DCSL Software," $50,000+ ",4.8,$50 - $99,"""50 - 249""","London,",None,https://clutch.co/profile/dcsl-software,https://www.dcslsoftware.com/,contact@dcslsoftware.com,"
+44 12 5223 5422 "
Itransition," $10,000+ ",4.8,$25 - $49,"""1,000 - 9,999""","Lakewood,",CO,https://clutch.co/profile/itransition,https://www.itransition.com/,info@itransition.com,"
+1 720-207-2820 "
AltexSoft," $25,000+ ",4.9,$50 - $99,"""50 - 249""","Kharkiv,",None,https://clutch.co/profile/altexsoft,http://www.altexsoft.com/,sales@altexsoft.com,"
+1 877.777.9097 "
INOXOFT," $25,000+ ",5,$25 - $49,"""50 - 249""","Lviv,",None,https://clutch.co/profile/inoxoft,https://inoxoft.com/,contact@inoxoft.com,"
+380 63 836 54 71 "
Geeks ," $25,000+ ",4.7,$200 - $300,"""50 - 249""","London,",None,https://clutch.co/profile/geeks,https://www.geeks.ltd.uk/,hello@geeks.ltd.uk,"
+44 0845 643 6229 "
Brainvire Infotech Inc," $25,000+ ",4.8,$25 - $49,"""250 - 999""","South Jordan,",None,https://clutch.co/profile/brainvire-infotech,https://www.brainvire.com,info@brainvire.com,"
+1-631-897-7276 "
Artelogic," $10,000+ ",5,$25 - $49,"""50 - 249""","Lviv,",None,https://clutch.co/profile/artelogic,https://artelogic.net,hello@artelogic.net,"
+38 067 200 75 14 "
Diceus," $10,000+ ",4.8,$25 - $49,"""50 - 249""","Kyiv,",None,https://clutch.co/profile/diceus,http://diceus.com/,info@diceus.com,"
+380963664726 "
UruIT," $25,000+ ",4.8,$25 - $49,"""50 - 249""","Montevideo,",None,https://clutch.co/profile/uruit,http://www.uruit.com,hello@uruit.com,"
+1 310 409 2021 "
itexico," $10,000+ ",4.8,$25 - $49,"""50 - 249""","Austin,",TX,https://clutch.co/profile/itexico,http://www.itexico.com,osalas@itexico.net,"
(855) 602-1949 "
Vooban," $100,000+ ",5,$100 - $149,"""10 - 49""","Quebec,",None,https://clutch.co/profile/vooban,http://www.vooban.com/en,sales@vooban.com,"
844.800.0027 "
Icreon," $50,000+ ",4.9,$150 - $199,"""50 - 249""","New York,",NY,https://clutch.co/profile/icreon,http://www.icreon.us/?utm_source=clutch,consulting@icreon.com,"
212-706-6021 "
Atlas - Clever Software," $10,000+ ",4.9,$100 - $149,"""10 - 49""","Southend-on-Sea,",None,https://clutch.co/profile/atlas-clever-software,https://www.atlascode.com,hello@atlascode.com,"
0845 867 2845 "
Scio Consulting International," $10,000+ ",4.9,$25 - $49,"""50 - 249""","Morelia,",None,https://clutch.co/profile/scio-consulting-international,http://www.sciodev.com,marketing@sciodev.com,"
 "
Existek," $10,000+ ",4.8,$25 - $49,"""50 - 249""","Vinnitsa,",None,https://clutch.co/profile/existek,https://existek.com/?utm_source=clutch&utm_medium=link&utm_content=profile,contact@existek.com,"
+380986800307 "
Daxima," $25,000+ ",5,$100 - $149,"""50 - 249""","Orinda,",CA,https://clutch.co/profile/daxima,https://www.daxima.com,sales@daxima.com,"
925.885.1972 "
Fingent Corp," $25,000+ ",4.9,$25 - $49,"""50 - 249""","White Plains,",NY,https://clutch.co/profile/fingent-corp,https://www.fingent.com/enterprise-software-developers?utm_source=Clutch&utm_medium=GoldSponsorship&utm_campaign=website,info@fingent.com,"
914. 615.9170 "
Perfectial," $50,000+ ",4.7,$25 - $49,"""50 - 249""","Lviv,",None,https://clutch.co/profile/perfectial,https://perfectial.com/,info@perfectial.com,"
+380322700092 "
CSI Media," $10,000+ ",4.6,$50 - $99,"""10 - 49""","Cheshire ,",None,https://clutch.co/profile/csi-media,https://www.csimedia.net/,enquiries@csimedia.net,"
0344.873.0073 "
Audacia," $25,000+ ",4.8,$100 - $149,"""10 - 49""","Leeds,",None,https://clutch.co/profile/audacia,http://www.audacia.co.uk,info@audacia.co.uk,"
0113 398 4199 "
INGSOFTWARE," $5,000+ ",4.8,$25 - $49,"""50 - 249""","Nis,",None,https://clutch.co/profile/ingsoftware,http://www.ingsoftware.com/,info@ingsoftware.com,"
+381 600 777 888 "
Vertex Ray," $5,000+ ",4.9,$25 - $49,"""10 - 49""","Montevideo,",None,https://clutch.co/profile/vertex-ray,http://vertexray.com/landing/user%20experience/index.html,contactus@vertexray.com,"
+598 (2) 900 4732 "
Future Processing," $25,000+ ",5,$25 - $49,"""250 - 999""","Gliwice,",None,https://clutch.co/profile/future-processing,http://www.future-processing.com,sales@future-processing.com,"
48.32.461.2300 "
Byndyusoft, Undisclosed,5,$25 - $49,"""10 - 49""","London,",None,https://clutch.co/profile/byndyusoft,https://byndyusoft.com,ceo@byndyusoft.com,"
1-646-982-1481 "
