Organization_name,Min. Project,Rating,Hourly_rate,Total_Employees,Locality,Region,Profile,Website,Mail,Phone
codequest," $10,000+ ",4.9,$25 - $49,"""10 - 49""","Warsaw,",None,https://clutch.co/profile/codequest,https://codequest.com/ruby-on-rails?utm_source=clutch,hello@codequest.com,"
+48602123249 "
Selleo," $25,000+ ",4.9,$25 - $49,"""50 - 249""","Bielsko-Baa,",None,https://clutch.co/profile/selleo,https://selleo.com,info@selleo.com,"
 "
MLSDev," $10,000+ ",4.5,$25 - $49,"""50 - 249""","Kyiv,",None,https://clutch.co/profile/mlsdev,https://mlsdev.com/,sales@mlsdev.com,"
+380975058161 "
"Raizlabs, a Rightpoint company"," $50,000+ ",4.8,$150 - $199,"""250 - 999""","Boston,",MA,https://clutch.co/profile/raizlabs-rightpoint-company,http://www.raizlabs.com,hello@raizlabs.com,"
617.383.9007 "
Monterail," $10,000+ ",4.8,$50 - $99,"""50 - 249""","Wroclaw,",None,https://clutch.co/profile/monterail,http://www.monterail.com/?utm_campaign=Clutch&utm_medium=CTA&utm_source=clutch,hello@monterail.com,"
+48 533 600 136 "
Table XI," $75,000+ ",4.9,$150 - $199,"""10 - 49""","Chicago,",IL,https://clutch.co/profile/table-xi,http://tablexi.com?utm_source=Clutch&utm_content=Profile&utm_medium=Button&utm_campaign=Directories,sales@tablexi.com,"
1.312.450.6320 "
Railsware," $50,000+ ",4.9,$50 - $99,"""10 - 49""","Krakow,",None,https://clutch.co/profile/railsware,https://railsware.com/,contact@railsware.com,"
646.397.4918 "
Infinum," $10,000+ ",4.8,$100 - $149,"""50 - 249""","New York City,",NY,https://clutch.co/profile/infinum,https://infinum.co/,hello@infinum.co,"
+1 (917) 838-2194 "
RubyGarage, Undisclosed,4.8,$25 - $49,"""50 - 249""","Dnipro,",None,https://clutch.co/profile/rubygarage,https://rubygarage.org/,info@rubygarage.org,"
+38 (096) 932-63-60 "
Digiryte," $10,000+ ",4.9,$25 - $49,"""50 - 249""","Manchester,",None,https://clutch.co/profile/digiryte,https://digiryte.com,hello@digiryte.com,"
0161 706 7983 "
Railwaymen," $10,000+ ",4.9,$50 - $99,"""10 - 49""","Krakow,",None,https://clutch.co/profile/railwaymen,http://railwaymen.org,info@railwaymen.org,"
+48 123450677 "
Sloboda Studio," $5,000+ ",4.7,$25 - $49,"""50 - 249""","Kharkiv,",None,https://clutch.co/profile/sloboda-studio,http://sloboda-studio.com/,alex@sloboda-studio.com,"
+380997596995 "
Visuality," $25,000+ ",5,$50 - $99,"""10 - 49""","Warsaw,",None,https://clutch.co/profile/visuality,http://www.visuality.pl/,contact@visuality.pl,"
+48 22 307 1205 "
Hashrocket," $25,000+ ",5,$150 - $199,"""10 - 49""","Chicago,",IL,https://clutch.co/profile/hashrocket,http://hashrocket.com/,info@hashrocket.com,"
1.877.885.8846 "
Dom & Tom," $50,000+ ",4.8,$150 - $199,"""50 - 249""","New York City,",NY,https://clutch.co/profile/dom-tom,http://domandtom.com,hello@domandtom.com,"
(646) 741-5049 "
Planet Argon," $50,000+ ",4.9,$150 - $199,"""10 - 49""","Portland,",OR,https://clutch.co/profile/planet-argon,https://www.planetargon.com,clutch@planetargon.com,"
+ 1 503 847 9214 "
End Point," $25,000+ ",4.9,$150 - $199,"""50 - 249""","New York,",NY,https://clutch.co/profile/end-point,http://www.endpoint.com/,sales@endpoint.com,"
212.929.6923 "
u2i," $10,000+ ",4.8,$50 - $99,"""50 - 249""","Red Hook,",NY,https://clutch.co/profile/u2i,http://u2i.com,sales@u2i.com,"
 "
AndPlus," $50,000+ ",4.9,$150 - $199,"""10 - 49""","Southborough,",MA,https://clutch.co/profile/andplus,https://hubs.ly/H08vCTL0,info@andplus.com,"
508.425.7533 "
SumatoSoft," $25,000+ ",4.9,$25 - $49,"""10 - 49""","Minsk,",None,https://clutch.co/profile/sumatosoft,http://sumatosoft.com/?utm_source=clutch.co&utm_medium=referral&utm_content=main%20website&utm_campaign=Clutch,info@sumatosoft.com,"
+375 (29)6255178 "
Anadea ," $10,000+ ",4.7,$25 - $49,"""50 - 249""","Alicante,",None,https://clutch.co/profile/anadea,http://anadea.info/,hello@anadea.info,"
1-315-215-1575 "
MojoTech," $25,000+ ",5,$150 - $199,"""10 - 49""","Providence,",RI,https://clutch.co/profile/mojotech,http://www.mojotech.com,hello@mojotech.com,"
855.665.6832 "
EL Passion," $5,000+ ",4.7,$50 - $99,"""50 - 249""","Warsaw,",None,https://clutch.co/profile/el-passion,http://www.elpassion.com,hello+clutch@elpassion.com,"
+48 792 541 588 "
Perfectial," $50,000+ ",4.7,$25 - $49,"""50 - 249""","Lviv,",None,https://clutch.co/profile/perfectial,https://perfectial.com/,info@perfectial.com,"
+380322700092 "
Eight Bit Studios," $25,000+ ",4.9,$150 - $199,"""10 - 49""","Chicago,",IL,https://clutch.co/profile/eight-bit-studios,http://eightbitstudios.com,info@eightbitstudios.com,"
312.281.8823 "
JetRuby Agency LTD.," $5,000+ ",4.8,$25 - $49,"""50 - 249""","San Fransisco,",CA,https://clutch.co/profile/jetruby-agency,http://jetruby.com,opportunities@jetruby.com,"
 "
OnGraph Technologies Corporation," $5,000+ ",4.8,$25 - $49,"""50 - 249""","Hicksville,",None,https://clutch.co/profile/ongraph-technologies-corporation,http://www.ongraph.com,salesteam@ongraph.com,"
647-295-4243 "
Lunar Logic," $5,000+ ",4.8,$50 - $99,"""10 - 49""","Krakow,",None,https://clutch.co/profile/lunar-logic,http://www.lunarlogic.io,contact@lunarlogic.io,"
+48 12 430 22 88 "
CognitiveClouds," $25,000+ ",4.7,$25 - $49,"""50 - 249""","Fremont,",CA,https://clutch.co/profile/cognitiveclouds,http://www.cognitiveclouds.com/custom-software-development-services,ben+clutch@cognitiveclouds.com,"
415.215.9082 "
Idyllic Software," $25,000+ ",4.6,$50 - $99,"""10 - 49""","Vancouver,",None,https://clutch.co/profile/idyllic-software,http://idyllic.co/,jparekh@idyllic.co,"
778-288-0930 "
Rademade," $25,000+ ",4.8,$25 - $49,"""50 - 249""","Kyiv,",None,https://clutch.co/profile/rademade,https://rademade.com/,vb@rademade.com,"
+380 (44) 333 47 80 "
Koombea," $50,000+ ",4.8,None,"""50 - 249""","Barranquilla,",None,https://clutch.co/profile/koombea,http://www.koombea.com/,contact@koombea.com,"
+57 (5) 316-1057 "
Softwire," $50,000+ ",4.8,$300+,"""50 - 249""","London,",None,https://clutch.co/profile/softwire,http://www.softwire.com/,info@softwire.com,"
+44 020 7485 7500 "
Prograils," $5,000+ ",4.9,$50 - $99,"""10 - 49""","Poznan,",None,https://clutch.co/profile/prograils,https://prograils.com/,hello@prograils.com,"
48.608310149 "
Bacancy Technology," $5,000+ ",4.8,< $25,"""50 - 249""","Ahmedabad,",None,https://clutch.co/profile/bacancy-technology,https://www.bacancytechnology.com/?utm_source=Clutch&utm_campaign=Clutch,solutions@bacancytechnology.com,"
91-955-880-6022 "
Acid Labs," $50,000+ ",5,$50 - $99,"""50 - 249""","Santiago,",None,https://clutch.co/profile/acid-labs,http://www.acid.cl/,ventas@acid.cl,"
+56.2.2946.2106 "
Def Method," $5,000+ ",5,$150 - $199,"""10 - 49""","New York,",NY,https://clutch.co/profile/def-method,http://defmethod.com,info@defmethod.com,"
(212) 256-1460 "
Ideamotive," $10,000+ ",4.9,$50 - $99,"""10 - 49""","Warszawa,",None,https://clutch.co/profile/ideamotive,https://ideamotive.co,hello@ideamotive.co,"
+48 660 111 631 "
Shakuro," $10,000+ ",4.9,$25 - $49,"""10 - 49""","Newark,",DE,https://clutch.co/profile/shakuro,https://shakuro.com,hello@shakuro.com,"
+1 646 712 9918 "
