Organization_name,Min. Project,Rating,Hourly_rate,Total_Employees,Locality,Region,Profile,Website,Mail,Phone
Avex Designs," $10,000+ ",5,$100 - $149,"""10 - 49""","New York,",NY,https://clutch.co/profile/avex-designs,http://avexdesigns.com/,info@avexdesigns.com,"
646-982-1574 "
Pointer, Undisclosed,4.8,$150 - $199,"""10 - 49""","Ottawa,",None,https://clutch.co/profile/pointer,https://pointercreative.com/,mack@pointercreative.com,"
 "
eHouse Studio," $25,000+ ",5,$150 - $199,"""10 - 49""","Charleston,",SC,https://clutch.co/profile/ehouse-studio,http://www.ehousestudio.com,aaron@ehousestudio.com,"
843.278.8286 "
Olibro Design," $10,000+ ",4.9,$100 - $149,"""10 - 49""","Los Angeles,",CA,https://clutch.co/profile/olibro-design,https://www.olibro.com/,info@olibro.com,"
310.775.8380 "
HUEMOR," $25,000+ ",4.9,$100 - $149,"""10 - 49""","New York,",NY,https://clutch.co/profile/huemor,http://huemor.rocks/?utm_source=clutch&utm_medium=directory&utm_campaign=clutchlisting,sayhi@huemor.rocks,"
(631) 393-6116 "
BTown Web," $5,000+ ",4.9,$150 - $199,"""2 - 9""","Burien,",WA,https://clutch.co/profile/btown-web,http://www.btownweb.com,chad@btownweb.com,"
2064195107 "
GenovaWebArt," $5,000+ ",5,$50 - $99,"""10 - 49""","Zaporizhia,",None,https://clutch.co/profile/genovawebart,https://genovawebart.com/,info@genovawebart.com,"
+380996707548 "
Blue Polo Interactive," $5,000+ ",4.8,$150 - $199,"""2 - 9""","New York,",NY,https://clutch.co/profile/blue-polo-interactive,http://bluepolointeractive.com,sales@bluepolointeractive.com,"
855.258.3765 "
Command C," $25,000+ ",4.9,$150 - $199,"""2 - 9""","Brooklyn,",NY,https://clutch.co/profile/command-c,http://www.commandc.com,info@commandc.com,"
347-844-9208 "
Realm Web Design," $5,000+ ",4.8,$100 - $149,"""2 - 9""","San Francisco,",CA,https://clutch.co/profile/realm-web-design,https://realmwebdesign.com,sales@realmwebdesign.com,"
415-287-0932 "
Aeolidia," $10,000+ ",4.8,$150 - $199,"""10 - 49""","Seattle,",WA,https://clutch.co/profile/aeolidia,http://aeolidia.com/,hello@aeolidia.com,"
(209) 690-7584 "
Planet Argon," $50,000+ ",4.9,$150 - $199,"""10 - 49""","Portland,",OR,https://clutch.co/profile/planet-argon,https://www.planetargon.com,clutch@planetargon.com,"
+ 1 503 847 9214 "
Rave Infosys," $10,000+ ",5,$50 - $99,"""250 - 999""","Coral Springs,",FL,https://clutch.co/profile/rave-infosys,http://www.raveinfosys.com,BD@raveinfosys.com,"
866.948.8384 "
