Organization_name,Min. Project,Rating,Hourly_rate,Total_Employees,Locality,Region,Profile,Website,Mail,Phone
UPQODE," $1,000+ ",5,$25 - $49,"""10 - 49""","Tampa,",FL,https://clutch.co/profile/upqode,https://www.upqode.com,projects@upqode.com,"
+1 813 990 0818 "
MAAN Softwares INC.," $5,000+ ",4.7,$25 - $49,"""10 - 49""","Lewes,",DE,https://clutch.co/profile/maan-softwares,https://maansoftwares.com/,info@maansoftwares.com,"
+1 531 203 9141 "
Blue Polo Interactive," $5,000+ ",4.8,$150 - $199,"""2 - 9""","New York,",NY,https://clutch.co/profile/blue-polo-interactive,http://bluepolointeractive.com,sales@bluepolointeractive.com,"
855.258.3765 "
P2H Inc," $1,000+ ",5,$25 - $49,"""250 - 999""","Las Vegas,",None,https://clutch.co/profile/p2h,https://www.psd2html.com/,victoria.kholmanova@hq.p2h.com,"
+1 888-724-9414 "
Big Drop ," $25,000+ ",4.7,$100 - $149,"""50 - 249""","New York ,",NY,https://clutch.co/profile/big-drop,http://bigdropinc.com/?utm_source=clutch,sayhello@bigdropinc.com,"
212.577.1138 "
Crafton," $5,000+ ",4.9,$25 - $49,"""10 - 49""","Pozna,",None,https://clutch.co/profile/crafton,http://www.crafton.eu/,biuro@crafton.pl,"
00 48 61 624 86 92 "
Human Made," $50,000+ ",5,$150 - $199,"""50 - 249""","New York,",NY,https://clutch.co/profile/human-made,https://humanmade.com,sales@humanmade.com,"
+1 559 547 8668 "
Followbright," $25,000+ ",5,None,"""2 - 9""","Denver,",CO,https://clutch.co/profile/followbright,http://www.followbright.com/,info@followbright.com,"
(970) 668-0709 "
Yarddiant," $1,000+ ",5,< $25,"""10 - 49""","Calicut,",None,https://clutch.co/profile/yarddiant,https://www.yarddiant.com,info@yarddiant.com,"
+91 9895035143 "
Jordan Crown," $10,000+ ",4.9,$100 - $149,"""10 - 49""","Everett,",WA,https://clutch.co/profile/jordan-crown,http://www.jordancrown.com/lp/clutch/?c=cl,joea@jordancrown.com,"
425.268.2718 "
WDG - Web Development Group," $25,000+ ",4.9,$150 - $199,"""10 - 49""","Arlington ,",VA,https://clutch.co/profile/wdg-web-development-group,http://www.webdevelopmentgroup.com/,hello@wdgdc.com,"
703-652-8438 "
Dom & Tom," $50,000+ ",4.8,$150 - $199,"""50 - 249""","New York City,",NY,https://clutch.co/profile/dom-tom,http://domandtom.com,hello@domandtom.com,"
(646) 741-5049 "
QArea," $5,000+ ",4.7,$25 - $49,"""50 - 249""","Kharkov,",None,https://clutch.co/profile/qarea,https://www.qarea.com/,marketing@qarea.us,"
38 057 763 60 24 "
Mobomo," $50,000+ ",4.8,$150 - $199,"""50 - 249""","Vienna,",VA,https://clutch.co/profile/mobomo,https://www.mobomo.com/,hello@mobomo.com,"
888.676.1049 "
ChopDawg.com," $25,000+ ",4.9,$100 - $149,"""10 - 49""","Philadelphia,",PA,https://clutch.co/profile/chopdawgcom,http://www.ChopDawg.com,Hello@ChopDawg.com,"
(800) 490-1476 "
Moove Agency, Undisclosed,5,$100 - $149,"""10 - 49""","London,",None,https://clutch.co/profile/moove-agency,http://www.mooveagency.com/,info@mooveagency.com,"
+44 20 3372 5696 "
"Onit Digital, Inc."," $75,000+ ",4.6,$100 - $149,"""50 - 249""","New York City,",NY,https://clutch.co/profile/onit-digital,http://www.onitdigital.com?clutch.co,info@onitdigital.com,"
 "
Markupus, Undisclosed,5,$25 - $49,"""10 - 49""","Vilnius,",None,https://clutch.co/profile/markupus,http://markupus.com,hi@markupus.com,"
 "
Modern Tribe ," $100,000+ ",5,$200 - $300,"""50 - 249""","Minneapolis,",MN,https://clutch.co/profile/modern-tribe,https://tri.be/,sales@tri.be,"
612-206-1445 "
Pragmatic , Undisclosed,4.6,$150 - $199,"""50 - 249""","Brighton,",None,https://clutch.co/profile/pragmatic,http://pragmatic.agency,sales@pragmatic.agency,"
+44 12 7361 3166 "
DevriX," $25,000+ ",4.8,$50 - $99,"""10 - 49""","Sofia,",None,https://clutch.co/profile/devrix,https://devrix.com/,contact@devrix.com,"
+359 89 853 2461 "
IT CRAFT," $10,000+ ",4.8,$25 - $49,"""50 - 249""","Kharkiv,",None,https://clutch.co/profile/it-craft,https://www.itechcraft.com/,site@itechcraft.com,"
+38.068.195.7340 "
WebDevStudios," $5,000+ ",5,None,"""10 - 49""","Philadelphia,",PA,https://clutch.co/profile/webdevstudios,http://www.webdevstudios.com,sales@webdevstudios.com,"
1-855-932-3380 "
Ruckus," $25,000+ ",5,$150 - $199,"""10 - 49""","New York,",NY,https://clutch.co/profile/ruckus,http://www.ruckusmarketing.com/?utm_source=Clutch.co&utm_medium=Directory&utm_term=Clutch.co&utm_content=Clutch.co&utm_campaign=Clutch.co,contact@ruckusco.com,"
646.832.4603 "
Materiell," $25,000+ ",4.9,$100 - $149,"""10 - 49""","Arlington,",VA,https://clutch.co/profile/materiell,https://materiell.com,team@materiell.com,"
703.243.9207 "
SemiDot Infotech ," $5,000+ ",4.8,< $25,"""10 - 49""","Boulder,",CO,https://clutch.co/profile/semidot-infotech,https://semidotinfotech.com/,hello@semidotinfotech.com,"
+1-303-325-3863 "
Codenest.pl," $1,000+ ",5,$25 - $49,"""2 - 9""","Krakw,",None,https://clutch.co/profile/codenestpl,https://codenest.us/,hello@codenest.us,"
 "
Orbit Media Studios," $25,000+ ",4.9,None,"""10 - 49""","Chicago,",IL,https://clutch.co/profile/orbit-media-studios,https://www.orbitmedia.com/,social@orbitmedia.com,"
773.348.4581 "
DesignRussia," $5,000+ ",5,$25 - $49,"""10 - 49""","Veliky Novgorod,",None,https://clutch.co/profile/designrussia,http://www.designrussia.com,hello@designrussia.com,"
007 908 226-06-56 "
Alley Interactive, Undisclosed,4.5,$150 - $199,"""50 - 249""","New York,",NY,https://clutch.co/profile/alley-interactive,http://alley.co,info@alley.co,"
212.804.6623 "
Perception System Pvt Ltd," $5,000+ ",4.4,< $25,"""50 - 249""","San Jose,",CA,https://clutch.co/profile/perception-system,http://www.perceptionsystem.com/,info@perceptionsystem.com,"
408.833.6470 "
Postlight," $75,000+ ",5,$150 - $199,"""10 - 49""","New York City,",NY,https://clutch.co/profile/postlight,https://postlight.com/,hello@postlight.com,"
646.694.8530 "
FYC Labs," $5,000+ ",4.9,$50 - $99,"""10 - 49""","San Diego,",CA,https://clutch.co/profile/fyc-labs,http://www.fyclabs.com,info@fyclabs.com,"
619.512.3865 "
Fahrenheit Marketing, Undisclosed,5,$150 - $199,"""10 - 49""","Austin,",TX,https://clutch.co/profile/fahrenheit-marketing,http://www.fahrenheit.io,info@fahrenheitmarketing.com,"
512.206.4220 "
Macronimous Web Solutions, Undisclosed,5,None,"""50 - 249""","Coimbatore,",None,https://clutch.co/profile/macronimous-web-solutions,http://www.macronimous.com,benny.a@gmail.com,"
91.994.424.9039 "
Isadora Agency," $25,000+ ",4.6,$100 - $149,"""10 - 49""","Manhattan Beach,",CA,https://clutch.co/profile/isadora-agency,http://isadoradigitalagency.com/,hello@isadoradigitalagency.com,"
310.560.4675 "
Sayenko Design, Undisclosed,4.7,$100 - $149,"""2 - 9""","Bellevue,",WA,https://clutch.co/profile/sayenko-design,http://www.sayenkodesign.com/,mike@sayenkodesign.com,"
425.445.7111 "
UpTrending," $25,000+ ",5,$100 - $149,"""10 - 49""","San Francisco,",CA,https://clutch.co/profile/uptrending,http://uptrending.com/,josh@uptrending.com,"
 "
Skyhook Interactive," $10,000+ ",5,$100 - $149,"""10 - 49""","Mesa,",AZ,https://clutch.co/profile/skyhook-interactive,https://skyhookinteractive.com/,sales@skyhookinteractive.com,"
(480) 814-1900 "
