Name,Positions,Company Name,Project Name,Project Type,Cost,Start Date
WillowTree,Mobile Channel Manager, Finanical Services Company ,Mobile App Dev & Feature Updates for Credit Union,Mobile App Development,Confidential,Dec. 2016 - Ongoing
WillowTree,Director of Strategic Projects, Digital Health Company,iOS App Prototypes for Health & Wellness Company,Mobile App Development,Confidential,Apr. 2018 - Feb. 2019
WillowTree,CTO, Locus Health,iOS App Dev of Remote Patient Monitoring System,Mobile App Development,"$200,000 to $999,999",Oct. 2018 - Ongoing
WillowTree,Sr. Manager, Innovation & Analytics,Dev of Web Responsive App for Brewing Company,Web Development,"$200,000 to $999,999",June 2018 - Ongoing
WillowTree,VP of Technology, FOX Digital Consumer Group,Mobile App Dev for Sports News Network,Mobile App Development,Confidential,Jan. 2017 - Ongoing
WillowTree,IT Director, Data Science Company,Mobile App Dev for Data Science Clinic,Mobile App Development,"$1,000,000 - $9,999,999",2016 - Ongoing
WillowTree,Business Systems Analyst, Retail Chain,Web & Mobile Development for Retail Chain,Mobile App Development,"$200,000 to $999,999",Dec. 2015 - Ongoing
WillowTree,Vice President, Regal Cinemas,App Maintenance and Dev for Regal Cinemas,Development,"$1,000,000 - $9,999,999",None
WillowTree,Sr. Director Enterprise Applications, IT Company ,Mobile Dev for Well-Known IT Services Provider,Development,"$50,000 to $199,999",None
WillowTree,Director of Engineering, Online Marketplace,Android/iOS Development for Online Marketplace ,Development,"$200,000 to $999,999",None
WillowTree,Director, NeighborWorks America,Development of Customer-Facing Website for Nonprofit,UI/UX Design,"$200,000 to $999,999",None
WillowTree,Program Manager, Credit Union,Financial Services App Development for Credit Union,Development,Confidential,None
WillowTree,Digital Lead, Synchrony Financial,App Design and UX Strategy for Financial Services Firm,Development,"$50,000 to $199,999",None
WillowTree,Engineering Director, Energy Solutions Company,iOS Application for Large Energy Solutions Provider,Development,"$200,000 to $999,999",None
WillowTree,Senior Manager, Hotel Chain,App Development for Large Hotel Chain,Mobile App Development,"$200,000 to $999,999",None
WillowTree,Procurement Manager, Professional Sports Arena,App Development for Sports Arena,Mobile App Development,"$200,000 to $999,999",None
WillowTree,President & CEO, Mobile App Agency,Field Service Native Mobile Apps,Mobile App Development,"$50,000 to $199,999",None
WillowTree,Director of Agile Development, Direct Marketing Provider,Direct Marketing Mobile Development,Mobile App Development,"$200,000 to $999,999",None
WillowTree,Director of Web Services, Higher Education Institution,Public University Mobile Development,Mobile App Development,"$50,000 to $199,999",May 2010 - Aug. 2011
WillowTree,Creative Director, Online Media,Business Network Mobile Developement,Mobile App Development,"$50,000 to $199,999",None
WillowTree,Business Analyst,Business Analyst,Web Development for Business Services Platform,Web Development,"Less than $10,000",Jan. 2019
Hyperlink InfoSystem,League Up,League Up,App Development for Sports Team Management Platform,Mobile App Development,"$10,000 to $49,999",June 2018 - May 2019
Hyperlink InfoSystem,President, CueRide,Mobile App Development for Ride-Sharing Service,Mobile App Development,"$50,000 to $199,999",July 2017 - Ongoing
Hyperlink InfoSystem,Co-Founder, Social App Startup,Mobile Dev Services for Social App Startup,Mobile App Development,"$10,000 to $49,999",June 2018 - Feb. 2019
Hyperlink InfoSystem,Deputy Manager , Samco,Multiple App Devs for Education and ITC Solutions Co,Mobile App Development,"$10,000 to $49,999",Jan. 2019 - Sept. 2019
Hyperlink InfoSystem,CEO/President, Freelancing Platform,Android & iOS App Dev for Community Freelancing Platform,Mobile App Development,"$10,000 to $49,999",Dec. 2018 - July 2019
Hyperlink InfoSystem,Head of HR, Three-Wheeler Vehicle Manufacturer,Large-Scale IoT & Mobile Dev for Vehicle Tracking Solution,Mobile App Development,"$200,000 to $999,999",Jan. - June 2019
Hyperlink InfoSystem,Co Founder, TribeMinder,Bug Fixes & Dev Services for Babysitting Application,Mobile App Development,"$10,000 to $49,999",Jan. 2019 - Ongoing
Hyperlink InfoSystem,Owner, SNELFI LLC,App Development for Mobile App,Mobile App Development,"$10,000 to $49,999",Feb. - July 2018
Hyperlink InfoSystem,,,Mobile App Dev for Shared Scooter Service,Mobile App Development,"$10,000 to $49,999",Oct. 2018 - Feb. 2019
Hyperlink InfoSystem,Co-Founder, Motor Video Company,iOS Development for Auto Video Company,Mobile App Development,"$10,000 to $49,999",Aug. 2018 - Mar. 2019
Hyperlink InfoSystem,Owner, Food Ordering App,iOS & Android Dev for Food Ordering App,Mobile App Development,"$10,000 to $49,999",Aug. 2018 - Feb. 2019
Hyperlink InfoSystem,Founder, Social Networking App,Mobile & Web Dev for Social Networking App,Mobile App Development,Confidential,Jan. 2018 - Ongoing
Hyperlink InfoSystem,CEO, Recruitment Agency,Mobile App Dev for Recruitment Agency,Mobile App Development,"$10,000 to $49,999",Aug. - Dec. 2018
