Organization_name,Min. Project,Rating,Hourly_rate,Total_Employees,Locality,Region,Profile,Website,Mail,Phone,
Mercury Development ," $10,000+ ",5,$50 - $99,"""50 - 249""","Miami,",FL,https://clutch.co/profile/mercury-development,http://www.mercdev.com/,michael@mercurydevelopment.com,"
917.470.1404 ",
IT CRAFT," $10,000+ ",4.8,$25 - $49,"""50 - 249""","Kharkiv,",None,https://clutch.co/profile/it-craft,https://www.itechcraft.com/,site@itechcraft.com,"
+38.068.195.7340 ",
Dogtown Media ," $25,000+ ",4.9,$100 - $149,"""10 - 49""","Venice Beach,",CA,https://clutch.co/profile/dogtown-media,https://www.dogtownmedia.com,contact@dogtownmedia.com,"
(888) 814-7010 ",
Applaudo Studios," $10,000+ ",4.4,$50 - $99,"""50 - 249""","Austin,",TX,https://clutch.co/profile/applaudo-studios,http://www.applaudostudios.com,sales@applaudostudios.com,"
+1 (512) 806-019 ",
Mobomo," $50,000+ ",4.8,$150 - $199,"""50 - 249""","Vienna,",VA,https://clutch.co/profile/mobomo,https://www.mobomo.com/android-app-development/,hello@mobomo.com,"
888.676.1049 ",
Wildnet Technologies," $1,000+ ",4.8,< $25,"""50 - 249""","Noida,",None,https://clutch.co/profile/wildnet-technologies,https://www.wildnettechnologies.com/android-app-development.htm,clutch@wildnettechnologies.com,"
+1 212-901-8616 ",
Dev Technosys," $5,000+ ",4.9,< $25,"""50 - 249""","San Francisco,",CA,https://clutch.co/profile/dev-technosys,https://www.devtechnosys.com/,business@devtechnosys.com,"
415.992.5493 ",
Appchance, Undisclosed,4.8,$50 - $99,"""10 - 49""","Poznan,",None,https://clutch.co/profile/appchance,http://www.appchance.com,contact@appchance.com,"
48.600.508.713 ",
"WillowTree, Inc."," $50,000+ ",4.9,$150 - $199,"""250 - 999""","Charlottesville,",VA,https://clutch.co/profile/willowtree-inc%C2%AE,http://www.willowtreeapps.com,info@willowtreeapps.com,"
888.329.9875 ",
"Raizlabs, a Rightpoint company"," $50,000+ ",4.8,$150 - $199,"""250 - 999""","Boston,",MA,https://clutch.co/profile/raizlabs-rightpoint-company,http://www.raizlabs.com,hello@raizlabs.com,"
617.383.9007 ",
Intellectsoft," $25,000+ ",4.8,$50 - $99,"""250 - 999""","Palo Alto,",CA,https://clutch.co/profile/intellectsoft,http://intellectsoft.net/?utm_source=clutch.co&utm_medium=referral&utm_campaign=android_dev,info@intellectsoft.net,"
650 300 4335 ",
ELEKS," $50,000+ ",4.8,$25 - $49,"""1,000 - 9,999""","Lviv,",None,https://clutch.co/profile/eleks,https://eleks.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=Clutch,hello@eleks.com,"
+1 (702) 978-7116 ",
Zco ," $10,000+ ",4.7,$25 - $49,"""250 - 999""","Nashua,",NH,https://clutch.co/profile/zco,https://www.zco.com/,sales@zco.com,"
603.881.9200 ",
Droids On Roids," $25,000+ ",4.8,$50 - $99,"""50 - 249""","Wroclaw,",None,https://clutch.co/profile/droids-roids,https://thedroidsonroids.com,hello@thedroidsonroids.com,"
 ",
hedgehog lab," $50,000+ ",4.7,$100 - $149,"""50 - 249""","London,",None,https://clutch.co/profile/hedgehog-lab,http://hedgehoglab.com,info@hedgehoglab.com,"
0808 164 3883 ",
Dom & Tom," $50,000+ ",4.8,$150 - $199,"""50 - 249""","New York City,",NY,https://clutch.co/profile/dom-tom,http://domandtom.com,hello@domandtom.com,"
(646) 741-5049 ",
