Organization_name,Min. Project,Rating,Hourly_rate,Total_Employees,Locality,Region,Profile,Website,Mail,Phone,
Algoworks," $5,000+ ",5,$25 - $49,"""50 - 249""","Sunnyvale,",CA,https://clutch.co/profile/algoworks,https://goo.gl/tMJjd6,sales@algoworks.com,"
+1.877.284.1028 ",
IT CRAFT," $10,000+ ",4.8,$25 - $49,"""50 - 249""","Kharkiv,",None,https://clutch.co/profile/it-craft,https://www.itechcraft.com/,site@itechcraft.com,"
+38.068.195.7340 ",
InnoviMobile Enterprise," $10,000+ ",4.9,$100 - $149,"""10 - 49""","Millburn/Short Hills,",NJ,https://clutch.co/profile/innovimobile-enterprise,https://innovimobile.com/get-free-estimate//?utm_source=Clutch,FastReply@innovimobile.com,"
646-588-0165 ",
R-Style Lab," $5,000+ ",4.8,$25 - $49,"""50 - 249""","San Francisco,",CA,https://clutch.co/profile/r-style-lab,http://r-stylelab.com/?utm_source=clutch.co&utm_medium=link_on_20clutch&utm_campaign=clutch_profile,ask@r-stylelab.com,"
888.252.3073 ",
SwingDev," $5,000+  ",4.9,$50 - $99,"""10 - 49""","San Francisco,",None,https://clutch.co/profile/swingdev,http://www.swingdev.io,hello@swingdev.io,"
 ",
Applaudo Studios," $10,000+ ",4.4,$50 - $99,"""50 - 249""","Austin,",TX,https://clutch.co/profile/applaudo-studios,http://www.applaudostudios.com,sales@applaudostudios.com,"
+1 (512) 806-019 ",
Consagous Technologies," $5,000+ ",4.6,< $25,"""10 - 49""","Austin,",TX,https://clutch.co/profile/consagous-technologies,https://www.consagous.com/services/mobile-application-development/?utm_source=clutch&utm_medium=landingpage,projects@consagous.com,"
+1 5123331321 ",
Mobomo," $50,000+ ",4.8,$150 - $199,"""50 - 249""","Vienna,",VA,https://clutch.co/profile/mobomo,https://www.mobomo.com/ios-app-development/,hello@mobomo.com,"
888.676.1049 ",
Dev Technosys," $5,000+ ",4.9,< $25,"""50 - 249""","San Francisco,",CA,https://clutch.co/profile/dev-technosys,https://www.devtechnosys.com/,business@devtechnosys.com,"
415.992.5493 ",
SteelKiwi," $10,000+ ",4.8,$25 - $49,"""50 - 249""","Odessa,",None,https://clutch.co/profile/steelkiwi,https://steelkiwi.com/,hello@steelkiwi.com,"
+1 415-449-8696 ",
"WillowTree, Inc."," $50,000+ ",4.9,$150 - $199,"""250 - 999""","Charlottesville,",VA,https://clutch.co/profile/willowtree-inc%C2%AE,http://www.willowtreeapps.com,info@willowtreeapps.com,"
888.329.9875 ",
"Raizlabs, a Rightpoint company"," $50,000+ ",4.8,$150 - $199,"""250 - 999""","Boston,",MA,https://clutch.co/profile/raizlabs-rightpoint-company,http://www.raizlabs.com,hello@raizlabs.com,"
617.383.9007 ",
Dom & Tom," $50,000+ ",4.8,$150 - $199,"""50 - 249""","New York City,",NY,https://clutch.co/profile/dom-tom,http://domandtom.com,hello@domandtom.com,"
(646) 741-5049 ",
Fueled," $75,000+ ",4.8,$150 - $199,"""50 - 249""","New York,",NY,https://clutch.co/profile/fueled,http://www.fueled.com/?utm_source=clutch&utm_medium=social&utm_campaign=fueledclutch,hello@fueled.com,"
+1-212-763-7726 ",
Intellectsoft," $25,000+ ",4.8,$50 - $99,"""250 - 999""","Palo Alto,",CA,https://clutch.co/profile/intellectsoft,http://intellectsoft.net/?utm_source=clutch.co&utm_medium=referral&utm_campaign=iphone_dev,info@intellectsoft.net,"
650 300 4335 ",
ELEKS," $50,000+ ",4.8,$25 - $49,"""1,000 - 9,999""","Lviv,",None,https://clutch.co/profile/eleks,https://eleks.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=Clutch,hello@eleks.com,"
+1 (702) 978-7116 ",
Zco ," $10,000+ ",4.7,$25 - $49,"""250 - 999""","Nashua,",NH,https://clutch.co/profile/zco,https://www.zco.com/,sales@zco.com,"
603.881.9200 ",
Appster," $25,000+ ",4.8,$50 - $99,"""250 - 999""","San Francisco,",CA,https://clutch.co/profile/appster,http://AppsterHQ.com,Clutch-Enquiries@appsterhq.com,"
844.277.7837 ",
Intuz," $10,000+ ",4.6,$25 - $49,"""50 - 249""","Sunnyvale,",CA,https://clutch.co/profile/intuz,https://www.intuz.com,getstarted@intuz.com,"
+1 650.451.1499 ",
ChopDawg.com," $25,000+ ",4.9,$100 - $149,"""10 - 49""","Philadelphia,",PA,https://clutch.co/profile/chopdawgcom,http://www.ChopDawg.com,Hello@ChopDawg.com,"
(800) 490-1476 ",
Droids On Roids," $25,000+ ",4.8,$50 - $99,"""50 - 249""","Wroclaw,",None,https://clutch.co/profile/droids-roids,https://thedroidsonroids.com,hello@thedroidsonroids.com,"
 ",
hedgehog lab," $50,000+ ",4.7,$100 - $149,"""50 - 249""","London,",None,https://clutch.co/profile/hedgehog-lab,http://hedgehoglab.com,info@hedgehoglab.com,"
0808 164 3883 ",
Blue Label Labs," $25,000+ ",4.7,$100 - $149,"""50 - 249""","New York,",NY,https://clutch.co/profile/blue-label-labs,http://www.bluelabellabs.com,contact@bluelabellabs.com,"
207.890.5983 ",
Atomic Object, Undisclosed,4.9,None,"""50 - 249""","Grand Rapids,",MI,https://clutch.co/profile/atomic-object,https://atomicobject.com/services/mobile-app-development,contact@atomicobject.com,"
616.776.6020 ",
Konstant Infosolutions," $5,000+ ",4.7,< $25,"""50 - 249""","Jaipur,",None,https://clutch.co/profile/konstant-infosolutions,https://www.konstantinfo.com/?request-a-quote,sales@konstantinfo.com,"
+1-888-866-0067 ",
Y Media Labs," $50,000+ ",4.7,$150 - $199,"""250 - 999""","Redwood City,",CA,https://clutch.co/profile/y-media-labs,http://www.ymedialabs.com,contact@ymedialabs.com,"
415.839.8584 ",
"DMI (Digital Management, Inc.)"," $25,000+ ",4.7,$100 - $149,"""1,000 - 9,999""","Bethesda,",MD,https://clutch.co/profile/dmi-digital-management,http://DMInc.com,sales@dminc.com,"
240.223.4800 ",
ArcTouch," $25,000+ ",4.9,$100 - $149,"""50 - 249""","San Francisco ,",CA,https://clutch.co/profile/arctouch,https://arctouch.com/?utm_source=clutch&utm_medium=referral&utm_campaign=listings&utm_content=main%20link,hello+clutch@arctouch.com,"
415.944.2000 ",
Exadel," $100,000+ ",4.9,$25 - $49,"""250 - 999""","Walnut Creek,",CA,https://clutch.co/profile/exadel,https://www.exadel.com/,info@exadel.com,"
1866-297-3860 ",
Rocket Insights," $50,000+ ",4.9,$150 - $199,"""10 - 49""","Newburyport ,",MA,https://clutch.co/profile/rocket-insights,http://www.rocketinsights.com/,aloha@rocketinsights.com,"
(925) 854-1970 ",
AndPlus," $50,000+ ",4.9,$150 - $199,"""10 - 49""","Southborough,",MA,https://clutch.co/profile/andplus,https://hubs.ly/H08vCTL0,info@andplus.com,"
508.425.7533 ",
Iflexion," $10,000+ ",4.8,$25 - $49,"""50 - 249""","Austin,",TX,https://clutch.co/profile/iflexion,https://www.iflexion.com/,contact@iflexion.com,"
512.501.3621 ",
Appinventiv," $10,000+ ",4.9,< $25,"""250 - 999""","Manhattan,",NY,https://clutch.co/profile/appinventiv,https://appinventiv.com/?source=clutch,sales@appinventiv.com,"
+1 646.585.0501 ",
QBurst," $5,000+ ",4.6,$25 - $49,"""1,000 - 9,999""","Trivandrum,",None,https://clutch.co/profile/qburst,http://www.qburst.com/,info@qburst.com,"
91.47.1653.7510 ",
Ramotion," $25,000+ ",4.9,$150 - $199,"""10 - 49""","San Francisco,",CA,https://clutch.co/profile/ramotion,https://www.ramotion.com/clutch,alex.a@ramotion.com,"
 ",
Experion Technologies ," $25,000+ ",4.9,$25 - $49,"""250 - 999""","Addison,",TX,https://clutch.co/profile/experion-technologies,http://www.experionglobal.com/?utm_source=Clutch&utm_medium=Clutch&utm_campaign=iPhonAppDev,REACHout@experionglobal.com,"
214.983.8181; 972.439.6913; ",
Utility," $50,000+ ",4.9,$150 - $199,"""10 - 49""","New York,",NY,https://clutch.co/profile/utility,http://utilitynyc.com,team@utilitynyc.com,"
(212) 328-1167 ",
nomtek," $10,000+ ",4.8,$50 - $99,"""50 - 249""","Wroclaw,",None,https://clutch.co/profile/nomtek,https://www.nomtek.com,hello@nomtek.com,"
+48 537 606 402 ",
CitrusBits," $25,000+ ",5,$100 - $149,"""10 - 49""","Los Angeles,",CA,https://clutch.co/profile/citrusbits,https://citrusbits.com/?utm_source=Clutch&utm_medium=profile&utm_campaign=clutch-weblink,sales.clutch@citrusbits.com,"
925-452-6012 ",
Mobisoft Infotech," $10,000+ ",4.9,$25 - $49,"""50 - 249""","Houston,",TX,https://clutch.co/profile/mobisoft-infotech,http://mobisoftinfotech.com/,info@mobisoftinfotech.com,"
855.572.2777 ",
Space-O Technologies," $10,000+ ",4.9,$25 - $49,"""50 - 249""","Ahmedabad,",None,https://clutch.co/profile/space-o-technologies,http://spaceotechnologies.com,sales@spaceotechnologies.com,"
+91 960 143 3998 ",
Apadmi," $10,000+ ",4.8,$100 - $149,"""50 - 249""","Manchester ,",None,https://clutch.co/profile/apadmi,https://www.apadmi.com/,info@apadmi.com,"
+44 161 850 1300 ",
Robosoft Technologies," $50,000+ ",4.8,$50 - $99,"""250 - 999""","San Francisco,",CA,https://clutch.co/profile/robosoft-technologies,https://www.robosoftin.com,services@robosoftin.com,"
(408) 460-1555 ",
Impekable," $25,000+ ",4.9,$150 - $199,"""10 - 49""","San Francisco,",CA,https://clutch.co/profile/impekable,http://www.impekable.com,sales@impekable.com,"
650-733-6006 ",
Magora," $10,000+ ",4.8,$50 - $99,"""50 - 249""","London,",None,https://clutch.co/profile/magora,https://www.magora-systems.com/,info@magora.co.uk,"
+44 20 7183 5820 ",
iTechArt Group, Undisclosed,4.9,$25 - $49,"""1,000 - 9,999""","New York,",NY,https://clutch.co/profile/itechart-group,http://www.itechart.com,hello@itechart-group.com,"
718.374.5043 ",
Two Tall Totems ," $50,000+ ",5,$100 - $149,"""10 - 49""","Vancouver,",None,https://clutch.co/profile/two-tall-totems,https://www.twotalltotems.com,sales@twotalltotems.com,"
888.315.4476 ",
Sidebench," $25,000+ ",4.9,$150 - $199,"""10 - 49""","Culver City,",CA,https://clutch.co/profile/sidebench,http://sidebench.com,hello@sidebench.com,"
310.893.3589 ",
Hidden Brains InfoTech," $10,000+ ",4.9,$25 - $49,"""250 - 999""","Ahmedabad,",None,https://clutch.co/profile/hidden-brains-infotech,http://www.hiddenbrains.com/mobile-app-development.html,biz@hiddenbrains.com,"
91.98.9802.1433 ",
Netguru," $10,000+ ",4.8,$50 - $99,"""250 - 999""","Poznan,",None,https://clutch.co/profile/netguru,https://www.netguru.co/,clutch@netguru.co,"
+44 2038 713 389 ",
MOBIKASA," $10,000+ ",4.7,$50 - $99,"""10 - 49""","New York,",NY,https://clutch.co/profile/mobikasa,http://www.mobikasa.com,info@mobikasa.com,"
+1 646-880-4504 ",
