Project_Name,Project_Category,Project_Cost,Project_Length,Project_Summary,Reviewer_Name,Reviewer_Role,Industry_Type,Reviewer_Company_Size,Reviewer_Location
iOS Development for Software Company,Development,"$1,000,000 - $9,999,999",June 2009 - Ongoing,"Providing coding and engineering expertise and project management oversight, Mercury Development serves as an ongoing partner for iOS development of an existing video playback platform.",None,"Founder & Director, Software Company",Media ,1-10 Employees,"Denver, Colorado"
"Development, UI, Design Partnership for Software Company",Development,"$1,000,000 - $9,999,999",2008 - Ongoing,"Mercury Development is co-developing a SaaS application, which will be an extension of an existing product. They are involved in the development, design, and user experience stages of the project.",None,"CTO, Software Company",Computer Software,11-50 employees,"St. Louis, Missouri"
Software Development Partnership for Software Company,Custom Software Development,"$1,000,000 - $9,999,999",Oct. 2003 - Mar. 2005,Mercury Development has a longstanding partnership with a software company. They help build models that integrate with existing protocols and do complex research for new projects.,None,"Owner, Software Company",IT Services,11- 50 Employees,"Evanston, Illinois"
"Android, iOS, & Web Development for Software Company",Development,"$1,000,000 - $9,999,999",2011 - Ongoing,"Mercury helped design a cloud-based video and photo filing app for desktop and mobile users (iOS and Android), including businessrequirements, mockups, and QA.",Richard Elam,"CTO, MiMedia Inc",Consumer Services,11- 50 Employees,"Brooklyn, New York"
Android & iOS Staff Augmentation for Hardware Company,Mobile App Development,"$200,000 to $999,999",July 2016 - Nov. 2017,"Mercury Development created an app for iOS and Android that interacted with internal software to inhibit phone usage while operating a moving vehicle, designing the interface and performing testing.",Clay Skelton,"President, Mill Mountain Capital, LLC ",IT Services,11- 50 Employees,"Roanoke, Virginia"
Web and Mobile Apps,Custom Software Development,"$10,000 to $49,999",Jan. 2017 - Dec. 2017,Mercury Development developed twomobile apps with administrative features.,None,"IT Manager, Hospital",Healthcare,"1,001-5,000 Employees","Miami, Florida"
E-Commerce Website for Cosmetics Company ,E-commerce Development,"$10,000 to $49,999",Aug. 2017 - Oct. 2017,Mercury Development updated and redesigned a website. They produced three possible designs and incorporated feedback on the chosen theme. They simplified the UX and made the sitemobile responsive.,Andrea Cid,"Managing Director, Concept II Cosmetics",Consumer Products ,11-50 Employees,"Miami, USA"
Dev Support for Enterprise Software Development Company,Development,"$50,000 to $199,999",Mar. 2017 - Nov. 2017,"Hired to accommodate a changing project, Mercury assisted the development of a business process simulation software. They built out a web app for Windows Desktop and delivered an iOS version as well.",None,"President, Software Development Company",Business Services,1-10 Employees,"New York City, New York"
Asset Inventory & Tracking App for IT Company,Mobile App Development,"$50,000 to $199,999",May - Dec. 2017,"Mercury Development built an asset inventory management and tracking application, completing a full MVP and several subsequent iterations. Functionalities include report generation and complex data storage.",Harris Edelman,"CEO, Ombligo, Inc.",IT Services,11-50 Employees,"Brooklyn, New York"
App Development for Picture App,Mobile App Development,"$10,000 to $49,999",Nov. 2017- Feb. 2018,Mercury Development designed and developed a native iOS app that incorporates user photos and reproduces them on custom backgrounds.,Isaac Lopez,"CEO, Picture Paradise LLC",Information technology,None,None
Client Portal Dev for Waste Management Company,Web Development,"$10,000 to $49,999",Apr. - June 2018,IT CRAFT developed a web application that helps with automation of waste management services. The customized portal allows clients to see the pickup status for various locations and place orders online.,None,"CSO, Zeme Technologies",Environmental Services,1-10 Employees,"Warsaw, Poland"
Custom PHP Dev for Telehealth Company,Custom Software Development,"$10,000 to $49,999",Jan. 2018 - Ongoing,"IT CRAFT is developing a PHP software with a built-in sign-on feature, credit card capabilities, and embedded audio and videos. Theyve completed multiple iterations so far and will continue to do more.",None,"Founder, Telehealth Company","Health, Wellness and Fitness",1-10 Employees,"Memphis, Tennessee"
Cloud Portal Dev for Translation Company,Custom Software Development,"$50,000 to $199,999",Jan. - Nov. 2017,"IT CRAFT took over for a previous agency that was unable to handle the workload. Main project features include systems integration, frontend dev, and login architecture.",None,"Head of Digital Business & Product Development, Translation Company",Translation and Localization,51-200 Employees,Sweden
Transportation Management System Dev ,Web Development,"$200,000 to $999,999",Apr. 2017 - Ongoing,"IT CRAFT has developed an application to modernize logistical management and optimize speed. Built with .NET in Java and SQL Server, the app contains two-sided user portals and integrations to track APIs.",Chris Scheid,"Co-Founder, Integrated Transportation Management","Transportation, Trucking, Railroad",1-10 Employees,"Scottsdale, Arizona"
Product Enhancement for On-Demand Laundry Service,Custom Software Development,Confidential,2014 - Ongoing,"IT Craft fully redesigned a city-wide pickup/delivery system, providing custom software development, location services, and API integration as well as Android app creation. They now manage feature additions.",None,"Founder, eLaundry",Consumer Products,1-10 Employees,"New York, New York"
Ongoing Dev for Religious Nonprofit,Development,"$50,000 to $199,999",Oct. 2015 - Ongoing,"IT Craft helped develop a landing page and a system to monitor downloads. They also developed an app to convert printed materials onto a web-based platform, and integrated a database to store user interactions.",None,Director of Information Systems,Religious Institutions,51-200 Employees,"Greenwood, Indiana"
MVP Redevelopment for B2B Startup,Custom Software Development,Confidential,Nov. 2016 - Ongoing,IT CRAFT rebuilt a teleconferencing microservice platform meant for scheduling billable video calls. The team consistently poses suggestions improving the original specs and now focuses mainly on user growth.,None,"Founder & CEO, B2B Platform Startup",Business Services,2-10 Employees,"Berlin, Germany"
