Project_Name,Project_Category,Project_Cost,Project_Length,Project_Summary,Reviewer_Name,Reviewer_Role,Industry_Type,Reviewer_Company_Size,Reviewer_Location,
Web Dev for Integration & Migration Solutions Provider,Web Development,"$10,000 to $49,999",Nov. 2017 - Ongoing,"Originally brought in to redesign an existing website, Algoworks designed and developed a new website using HTML and PHP. Development of a customer engagement portal and SEO services are ongoing.",None,"VP, OpsHub, Inc.",Computer Software,11-50 Employees,"Palo Alto, California",
Web & Mobile App Dev for Meetings & Conferencing Tool,Web Development,"$50,000 to $199,999",Dec. 2016 - Ongoing,Algoworks provided staff augmentation to support the build stage of a language interpretation platform similar to Facetime. Engineers used JavaScript and Swift 3 and 4 to code the web and mobile software.,None,"VP of Product Management, Conference Services Platform",Events Services,1-10 Employees,"San Francisco, California",
Mobile App Dev for Camera Recording App,Mobile App Development,"$10,000 to $49,999",Sept. 2016 - Mar. 2017,"Algoworks developed the first version of anAndroid cameraapp. They managed thedesign and development, built a Firebase backend, and helped launch the app on the Play Store.",None,"Founder, Camera App",Internet,1-10 Employees,"San Francisco, California",
Mobile App Dev for Digital Marketing Agency,Mobile App Development,"$10,000 to $49,999",Aug. 2017 - Ongoing,The team developed the backend for native mobile applications for iOS and Android. They also developed the backend and frontend solutions as well as the admin system for the campaign management systems.,None,"Partner, Digital Agency",Marketing & Advertising,11-50 Employees,"Trondheim, Norway",
Android Mobile App Dev for Property Management Software,Mobile App Development,"Less than $10,000",Feb. 2017 - Ongoing,Algoworks built a native Android app that allows apartment owners and field personnel to respond to resident requests. The team continues to enhance the UX of both app versions.,Jeff Wohlschlegel,"Co-Founder & CPO, ServusConnect, Inc.",Real Estate,1-10 Employees,"Raleigh, North Carolina",
Software Dev Auxiliary Team for Tech Services Company ,Custom Software Development,"$50,000 to $199,999",Mar. - Nov. 2015,"Algoworks augmented a technology services company during complex, intensesoftware development projects. They provided and acquired resources to assist with a variety oftechnologies.",Ashish Aggarwal,"CEO, ANDD Techservices Inc.",IT Services,11- 50 Employees,India,
Web & Mobile Dev for Utilities Consumption App,Web Development,Confidential,Jun. 2016 - Ongoing,Algoworks developed the backend web system for a complexiOTproduct. They also developed an accompanying website and mobile app. They were relied on for the backbone of the system.,None,"President, Nudge Systems",Utilities,1-10 Employees,San Francisco Bay Area,
Activiti BPM Dev for Industrial Automation Company,IoT Development,"$10,000 to $49,999",Mar. 2017 - Ongoing,Algoworks developed the backend database and web-based frontend of a full-stack BPM solution on Activiti. Their solution is integrated into a cloud-based infrastructure.,Luis Bravo,"Co-Founder, IBISA",IT Services,51-200 Employees,Colombia,
Web Development for Mental Health Counseling Non-Profit,Web Development,"Less than $10,000",May - Aug. 2017,"Algoworks provided web development and design for a site that serves members of a healthcareassociation. They built a directory and blog, integrated add-ons, and set up communication channels.",Matthew Turley,"Board President, Delaware Professional Counselors Association",Non-Profit,11-50 Employees,"Georgetown, Delaware",
Mobile Dev for Local Business Promotion App,Mobile App Development,"$10,000 to $49,999",Dec. 2016 - Ongoing,"Algoworks developed iOS and Android apps for a social site promoting local business. They led all research, branding, UX, UI, and worked alongside the company founder to brand the app.",Tom Archino,"CEO, Can I Just Say It?",Marketing & Advertising,1-10 Employees,"Rehoboth Beach, Delaware",
Client Portal Dev for Waste Management Company,Web Development,"$10,000 to $49,999",Apr. - June 2018,IT CRAFT developed a web application that helps with automation of waste management services. The customized portal allows clients to see the pickup status for various locations and place orders online.,None,"CSO, Zeme Technologies",Environmental Services,1-10 Employees,"Warsaw, Poland",
Custom PHP Dev for Telehealth Company,Custom Software Development,"$10,000 to $49,999",Jan. 2018 - Ongoing,"IT CRAFT is developing a PHP software with a built-in sign-on feature, credit card capabilities, and embedded audio and videos. Theyve completed multiple iterations so far and will continue to do more.",None,"Founder, Telehealth Company","Health, Wellness and Fitness",1-10 Employees,"Memphis, Tennessee",
Cloud Portal Dev for Translation Company,Custom Software Development,"$50,000 to $199,999",Jan. - Nov. 2017,"IT CRAFT took over for a previous agency that was unable to handle the workload. Main project features include systems integration, frontend dev, and login architecture.",None,"Head of Digital Business & Product Development, Translation Company",Translation and Localization,51-200 Employees,Sweden,
